infections,deaths,infecteds
4,0,4
5,0,5
7,0,7
12,0,12
17,0,17
20,0,20
28,0,28
37,0,38
47,0,47
49,0,50
60,0,63
66,0,67
74,0,79
83,0,89
95,0,101
99,0,112
121,0,129
135,0,146
150,1,161
169,1,179
187,1,198
200,3,213
221,3,236
229,3,250
239,3,264
260,4,290
279,4,309
283,4,323
322,4,352
330,6,366
352,6,388
375,7,416
395,7,439
406,7,453
434,9,473
447,10,501
454,10,517
467,11,542
495,13,572
525,16,593
543,16,622
559,18,654
600,20,690
625,21,710
677,22,759
692,24,789
719,26,828
763,26,871
789,28,907
800,33,938
832,37,975
877,40,1017
901,44,1054
928,50,1100
965,53,1146
975,57,1176
1013,58,1223
1050,59,1265
1092,62,1306
1121,65,1341
1161,68,1389
1162,73,1421
1227,75,1466
1265,76,1508
1294,78,1543
1314,80,1584
1349,87,1628
1398,90,1665
1426,94,1694
1455,97,1739
1470,100,1777
1479,105,1808
1531,109,1848
1543,113,1878
1537,115,1908
1578,117,1947
1613,123,1987
1621,128,2016
1649,140,2041
1665,149,2076
1652,155,2102
1694,160,2114
1712,165,2148
1717,171,2171
1726,178,2190
1749,184,2216
1770,189,2237
1777,197,2251
1788,202,2277
1810,206,2295
1821,212,2311
1839,217,2339
1838,222,2355
1828,228,2369
1829,229,2385
1868,232,2399
1886,233,2409
1883,235,2419
1901,237,2430
1870,243,2437
1881,249,2445
1878,254,2452
1870,259,2461
1887,263,2462
1920,267,2469
1876,273,2473
1867,277,2474
1863,285,2479
1875,295,2482
1844,300,2484
1819,306,2487
1849,310,2491
1844,314,2495
1833,318,2497
1835,323,2498
1844,326,2499
1848,328,2500
1841,332,2501
1806,335,2503
1827,338,2504
1807,344,2504
1792,349,2505
1805,355,2505
1784,364,2505
1805,367,2505
1843,371,2505
1802,376,2505
1778,380,2505
1810,384,2505
1792,388,2505
1787,392,2505
1747,400,2505
1711,408,2505
1746,411,2505
1743,417,2505
1721,420,2505
1734,426,2505
1727,431,2505
1732,436,2505
1758,443,2505
1734,450,2505
1715,455,2505
1741,457,2505
1717,461,2505
1702,464,2505
1698,467,2505
1728,472,2505
1711,483,2505
1717,484,2505
1703,490,2505
1700,497,2505
1666,505,2505
1652,510,2505
1625,515,2505
1625,519,2505
1629,523,2505
1609,525,2505
1601,526,2505
1616,530,2505
1628,536,2505
1634,539,2505
1613,544,2505
1606,548,2505
1601,550,2505
1602,553,2505
1634,556,2505
1571,559,2505
1592,563,2505
1586,568,2505
1564,575,2505
1564,582,2505
1571,585,2505
1556,587,2505
1553,589,2505
1569,597,2505
1562,599,2505
1558,606,2505
1551,609,2505
1527,616,2505
1534,622,2505
1517,625,2505
1511,630,2505
1530,636,2505
1501,639,2505
1503,643,2505
1494,644,2505
1527,645,2505
1501,652,2505
1509,652,2505
1500,655,2505
1487,657,2505
1487,661,2505
1486,663,2505
1461,670,2505
1467,675,2505
1469,677,2505
1459,682,2505
1440,684,2505
1436,688,2505
1451,692,2505
1436,694,2505
1436,698,2505
1441,703,2505
1434,708,2505
1438,711,2505
1416,719,2505
1390,727,2505
1382,730,2505
1384,733,2505
1385,739,2505
1371,740,2505
1376,744,2505
1378,748,2505
1364,754,2505
1372,757,2505
1382,760,2505
1380,764,2505
1366,769,2505
1373,774,2505
1359,775,2505
1367,777,2505
1385,780,2505
1353,783,2505
1321,789,2505
1346,791,2505
1337,798,2505
1326,803,2505
1321,805,2505
1316,812,2505
1292,818,2505
1301,821,2505
1275,823,2505
1306,824,2505
1292,824,2505
1294,829,2505
1294,830,2505
1297,832,2505
1270,836,2505
1293,837,2505
1277,841,2505
1243,844,2505
1260,847,2505
1267,850,2505
1240,856,2505
1239,862,2505
1246,865,2505
1242,868,2505
1214,872,2505
1218,876,2505
1227,879,2505
1222,884,2505
1224,886,2505
1209,893,2505
1203,897,2505
1206,901,2505
1201,902,2505
1208,905,2505
1213,905,2505
1215,908,2505
1178,913,2505
1213,914,2505
1209,919,2505
1222,919,2505
1185,921,2505
1193,927,2505
1169,933,2505
1185,933,2505
1152,934,2505
1155,936,2505
1149,937,2505
1146,942,2505
1163,945,2505
1150,948,2505
1146,951,2505
1158,955,2505
1134,962,2505
1127,963,2505
1129,964,2505
1124,969,2505
1149,971,2505
1122,971,2505
1103,976,2505
1132,977,2505
1134,983,2505
1145,989,2505
1125,990,2505
1125,993,2505
1130,996,2505
1095,999,2505
1103,1004,2505
1075,1009,2505
1091,1011,2505
1109,1013,2505
1102,1014,2505
1065,1017,2505
1068,1019,2505
1064,1022,2505
1072,1027,2505
1053,1033,2505
1051,1037,2505
