infections,deaths,infecteds
2,0,1
2,0,1
2,0,1
2,0,1
4,0,4
5,0,4
6,0,5
9,0,8
10,0,10
13,0,12
15,0,14
19,0,19
18,0,21
21,0,25
25,0,29
30,0,37
34,0,41
37,0,46
39,0,48
48,0,57
56,0,64
57,0,67
58,0,76
69,0,83
68,0,87
70,0,91
70,0,94
73,1,104
71,1,108
77,1,114
80,1,119
81,2,125
95,2,137
102,2,143
104,2,151
114,2,165
115,2,171
122,2,179
131,2,191
128,2,201
138,2,214
160,2,227
157,2,234
166,2,243
179,2,258
189,2,269
198,2,276
208,3,289
204,3,302
209,3,310
223,4,328
226,5,340
243,5,357
243,5,366
245,6,376
246,7,390
257,7,403
252,9,414
252,9,428
262,11,438
265,11,452
269,11,465
292,11,487
308,11,504
319,11,521
338,12,544
337,13,560
332,13,575
357,15,595
374,16,611
366,16,627
379,17,655
392,18,674
406,19,690
420,22,709
445,23,733
431,23,750
446,23,762
455,25,781
460,25,796
463,27,818
464,27,829
472,28,856
468,30,871
484,30,889
488,33,911
502,35,930
506,36,944
489,36,962
487,38,973
516,39,995
520,40,1010
525,41,1035
549,43,1064
572,46,1099
601,47,1118
630,47,1149
650,48,1172
662,50,1198
694,51,1213
712,52,1240
714,53,1262
730,56,1283
728,57,1307
731,57,1331
731,60,1355
748,61,1381
750,65,1402
767,66,1433
758,66,1456
774,66,1482
779,68,1498
799,73,1524
808,73,1555
796,75,1573
832,76,1596
829,78,1619
839,80,1640
842,80,1653
881,80,1678
857,82,1695
854,82,1707
869,87,1735
867,90,1746
883,91,1766
896,93,1782
865,97,1802
887,100,1823
885,101,1839
888,104,1858
881,105,1878
885,107,1888
877,108,1909
897,112,1929
899,112,1948
911,116,1968
896,122,1986
899,123,2001
912,127,2016
927,129,2033
941,131,2047
983,135,2069
970,137,2086
968,141,2099
972,142,2116
992,144,2128
981,146,2140
977,151,2160
959,153,2178
948,156,2191
970,158,2212
958,160,2221
965,161,2235
978,166,2251
978,167,2271
982,169,2282
997,171,2300
1004,174,2316
990,177,2329
1009,180,2334
1014,182,2344
995,186,2350
988,188,2355
984,188,2364
974,189,2369
984,190,2374
989,190,2379
979,195,2383
959,200,2384
970,202,2390
986,204,2395
983,208,2401
991,210,2408
979,211,2408
981,211,2411
972,216,2415
956,218,2419
937,219,2425
968,219,2427
958,220,2431
937,225,2435
963,228,2438
958,229,2445
966,231,2449
964,238,2453
969,241,2457
932,245,2460
957,246,2466
945,250,2470
932,253,2473
947,256,2479
955,263,2481
947,266,2486
984,269,2493
971,272,2495
974,275,2496
991,276,2501
977,278,2501
955,285,2502
959,287,2504
948,294,2504
933,296,2504
925,300,2507
912,300,2507
887,300,2510
898,302,2511
879,304,2511
886,304,2515
886,307,2515
866,310,2519
852,310,2520
858,311,2520
864,312,2521
846,315,2522
836,317,2522
831,318,2522
839,318,2522
856,319,2522
853,322,2522
857,325,2522
841,327,2522
833,329,2522
852,329,2522
868,331,2522
856,339,2522
850,341,2522
858,344,2522
841,348,2522
839,350,2522
846,353,2522
828,356,2522
821,357,2522
820,359,2522
831,361,2522
853,364,2522
863,369,2522
832,374,2522
836,375,2523
813,378,2523
828,382,2523
834,382,2523
804,384,2524
798,387,2524
785,389,2524
781,390,2524
769,391,2524
758,393,2524
732,394,2524
725,395,2524
704,395,2524
721,395,2524
720,396,2524
717,398,2524
737,401,2524
714,403,2524
701,403,2524
726,408,2524
699,412,2524
704,414,2524
702,415,2524
679,418,2524
681,420,2524
688,420,2524
670,424,2524
658,426,2524
641,428,2524
648,429,2524
648,432,2524
647,434,2524
646,436,2524
640,438,2524
654,440,2524
659,442,2524
649,443,2524
633,448,2524
618,453,2524
633,455,2524
618,455,2524
612,456,2524
599,458,2524
608,461,2524
617,464,2524
627,465,2524
597,467,2524
596,469,2524
580,472,2524
582,473,2524
580,474,2524
574,475,2524
564,475,2524
573,475,2524
575,476,2524
585,476,2524
584,478,2524
583,479,2524
569,479,2524
576,479,2524
564,481,2524
561,482,2524
549,483,2524
