infections,deaths,infecteds
2,0,2
4,0,4
4,0,4
4,0,4
4,1,5
5,1,6
7,1,8
9,1,10
7,1,10
6,2,10
8,2,12
8,2,13
10,2,16
12,2,19
13,2,22
15,2,25
16,2,25
23,2,30
23,3,31
25,3,33
24,3,36
26,5,39
27,7,44
26,7,45
25,7,47
30,9,52
33,10,57
33,10,60
38,10,66
39,11,71
38,12,74
40,12,75
38,14,80
40,14,85
39,16,89
37,17,91
44,17,97
46,18,103
50,19,107
50,20,112
45,23,113
46,24,115
47,24,118
40,24,119
37,25,121
27,28,122
25,28,123
26,28,125
22,30,126
23,30,127
25,31,130
25,32,134
23,34,135
25,34,138
26,35,139
24,36,140
28,37,142
27,38,145
26,39,147
25,39,147
29,39,153
28,40,156
31,40,157
33,42,160
35,42,165
34,44,167
36,45,169
36,45,172
32,47,175
35,48,177
31,49,181
33,50,182
33,51,185
33,51,186
34,51,189
35,51,189
32,51,189
29,52,190
30,52,192
23,53,192
30,53,197
25,55,199
24,55,200
26,56,203
26,56,204
26,57,205
27,58,207
27,59,208
21,60,208
22,61,211
19,61,212
23,62,216
22,63,217
21,63,220
25,63,223
28,64,226
27,66,228
28,66,232
29,66,235
32,66,237
38,66,243
41,68,249
41,69,252
43,71,257
48,71,261
52,72,268
49,74,273
53,75,276
53,77,280
52,79,286
54,80,290
54,80,292
54,83,298
54,83,301
52,85,306
46,85,307
48,85,313
43,88,317
42,88,321
38,90,326
35,91,329
37,92,335
45,92,344
50,92,350
48,95,356
51,95,361
53,97,368
61,97,375
58,99,379
63,102,386
63,105,397
65,105,404
72,105,413
70,106,418
73,107,429
76,108,439
76,110,444
73,114,452
72,116,457
74,116,463
76,117,473
73,119,476
67,124,480
72,125,486
71,127,492
71,127,499
71,129,500
69,131,509
82,131,521
87,133,529
95,134,539
101,138,547
105,139,558
117,142,570
118,143,580
121,144,591
125,146,602
129,147,611
128,150,619
135,156,632
137,159,649
144,162,661
149,165,679
146,168,687
156,168,702
165,175,720
170,181,735
171,186,745
177,188,762
172,197,770
178,200,778
165,206,787
158,214,799
159,220,815
160,225,829
151,230,840
158,238,861
153,243,866
150,246,875
156,250,889
151,256,900
147,260,913
149,262,921
149,270,934
152,274,950
160,276,962
171,281,982
163,288,992
172,291,1002
174,294,1015
174,296,1026
173,303,1045
179,308,1061
174,313,1072
177,317,1086
181,322,1103
175,328,1112
174,333,1120
176,338,1131
173,343,1145
169,347,1156
164,352,1171
161,355,1179
161,361,1195
162,362,1204
169,369,1222
177,371,1234
176,374,1246
179,380,1259
177,384,1268
174,389,1272
173,397,1281
176,399,1298
158,407,1305
155,408,1315
153,412,1325
159,417,1338
162,419,1348
162,422,1362
164,426,1375
163,433,1384
160,435,1392
165,436,1402
146,444,1409
139,450,1416
147,451,1427
131,456,1432
131,459,1445
129,462,1455
130,472,1463
120,477,1471
124,478,1480
123,481,1490
125,483,1499
124,487,1510
123,488,1519
120,489,1528
127,490,1536
125,494,1542
134,495,1555
126,502,1561
129,504,1570
125,507,1578
136,508,1587
131,509,1598
130,510,1607
125,512,1618
124,517,1628
121,519,1637
131,521,1650
132,522,1657
126,527,1667
131,527,1674
137,532,1691
138,536,1698
139,538,1704
133,539,1709
130,546,1719
129,548,1724
126,553,1731
124,554,1738
110,559,1742
116,560,1751
111,564,1757
96,567,1760
95,571,1763
88,574,1765
90,577,1773
84,580,1778
83,583,1782
72,588,1784
79,588,1787
77,591,1791
77,596,1794
69,600,1799
71,600,1804
62,603,1806
67,603,1809
68,609,1817
64,612,1821
62,616,1823
62,618,1829
55,621,1832
57,622,1834
58,625,1838
48,628,1840
48,629,1841
46,629,1841
49,630,1842
43,632,1844
48,633,1846
47,637,1846
47,639,1849
46,640,1851
44,640,1852
42,641,1853
40,641,1853
36,644,1854
27,645,1856
30,645,1860
