infections,deaths,infecteds
1,0,1
2,0,2
2,0,2
4,0,4
3,0,4
4,0,4
6,0,6
7,0,7
8,0,8
10,1,11
11,1,12
10,1,13
11,1,15
13,1,15
12,1,16
13,1,18
15,3,21
16,3,24
17,3,26
21,3,28
22,4,32
26,4,37
29,4,40
37,4,46
36,4,50
41,5,55
50,6,67
55,7,73
55,10,77
64,10,86
67,11,93
60,15,96
64,17,105
64,20,109
62,25,117
64,25,121
64,29,128
64,30,135
67,30,137
73,32,146
70,32,153
68,33,157
72,34,165
80,35,177
80,39,184
78,40,191
82,41,197
86,43,207
88,44,211
102,46,227
101,47,232
106,50,243
122,53,259
128,56,269
124,58,272
131,60,282
137,64,301
140,65,313
150,68,324
148,71,334
142,80,344
154,82,357
161,85,369
159,90,380
161,96,393
163,101,404
158,108,417
176,113,435
183,116,454
176,122,467
192,123,484
202,130,507
212,135,522
228,141,541
228,145,555
230,155,575
248,160,593
253,165,612
252,171,625
247,178,640
254,184,655
245,190,669
248,196,683
244,206,698
238,210,712
237,215,722
240,223,730
238,228,745
235,236,763
248,242,791
247,251,800
248,257,817
251,262,834
261,266,855
270,270,876
277,273,893
285,282,918
290,289,934
303,295,953
320,302,982
321,312,1001
321,326,1026
340,335,1049
350,343,1080
341,354,1100
355,365,1129
351,372,1152
357,376,1180
359,390,1203
366,395,1226
349,411,1249
367,417,1272
366,429,1289
360,443,1315
358,451,1338
349,465,1361
354,469,1382
348,483,1400
352,493,1429
362,499,1458
370,506,1480
373,517,1507
383,520,1539
399,530,1571
403,535,1592
411,546,1621
424,553,1653
420,564,1671
441,571,1705
434,584,1724
413,599,1748
427,613,1788
431,626,1815
445,635,1840
445,649,1868
436,667,1894
425,681,1915
442,694,1940
438,703,1963
433,714,1982
424,725,2006
419,738,2027
438,753,2054
445,764,2073
432,776,2096
431,786,2112
431,792,2132
433,806,2155
409,816,2170
400,821,2185
381,834,2197
372,842,2208
385,852,2228
386,863,2242
369,873,2250
363,883,2260
363,889,2280
363,897,2291
364,907,2304
358,914,2320
334,925,2327
331,932,2344
332,941,2355
323,951,2363
314,960,2375
301,971,2382
289,977,2393
287,980,2408
282,988,2412
271,998,2419
268,1004,2426
274,1014,2435
251,1021,2441
239,1028,2448
232,1036,2452
215,1043,2455
219,1051,2458
209,1055,2459
186,1064,2461
182,1069,2465
176,1070,2466
165,1078,2471
163,1083,2472
147,1093,2476
144,1097,2478
136,1101,2478
146,1105,2481
138,1111,2483
128,1115,2483
129,1121,2485
126,1122,2485
124,1124,2488
124,1126,2489
112,1133,2489
109,1135,2489
109,1138,2490
102,1141,2490
94,1142,2491
94,1144,2492
93,1149,2494
94,1150,2496
88,1153,2498
80,1158,2498
73,1160,2499
75,1160,2499
69,1162,2499
58,1167,2499
53,1170,2500
47,1173,2500
45,1176,2500
52,1177,2500
45,1181,2500
38,1182,2500
40,1185,2500
41,1188,2500
38,1188,2500
44,1188,2500
39,1191,2501
34,1192,2501
36,1192,2501
33,1194,2501
38,1194,2501
37,1194,2501
35,1194,2501
31,1194,2501
31,1195,2501
29,1195,2501
31,1196,2501
25,1198,2501
21,1201,2501
23,1201,2501
21,1202,2501
20,1202,2501
16,1203,2501
12,1203,2501
10,1203,2501
10,1203,2501
6,1203,2501
6,1203,2501
5,1204,2501
4,1204,2501
3,1204,2501
6,1204,2501
5,1205,2501
5,1205,2501
5,1205,2501
5,1205,2501
5,1206,2501
5,1206,2501
3,1206,2501
2,1206,2501
2,1206,2501
1,1206,2501
1,1206,2501
2,1206,2501
1,1207,2501
3,1207,2501
3,1207,2501
4,1207,2501
4,1207,2501
5,1207,2501
5,1207,2501
5,1207,2501
4,1208,2501
5,1208,2501
4,1208,2501
4,1208,2501
5,1208,2501
5,1208,2501
6,1208,2501
6,1208,2501
5,1208,2501
4,1209,2501
4,1209,2501
3,1209,2501
3,1209,2501
3,1209,2501
2,1209,2501
3,1209,2501
3,1209,2501
3,1209,2501
3,1209,2501
3,1209,2501
1,1210,2501
1,1210,2501
1,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
0,1210,2501
